p_id,posterior,prior,likelihood,rule
1,-44.529627993838666,-9.975994243322875,-34.55363375051579,"""lambda x: else_(streak_(x, 2), else_(patternCont_(x), invert_(get_(x, 7))))"""
1,-44.529627993838666,-9.975994243322875,-34.55363375051579,"""lambda x: else_(streak_(x, 5), else_(patternCont_(x), invert_(get_(x, 7))))"""
1,-44.529627993838666,-9.975994243322875,-34.55363375051579,"""lambda x: else_(streak_(x, 3), else_(patternCont_(x), invert_(get_(x, 7))))"""
1,-43.970012205903245,-9.416378455387454,-34.55363375051579,"""lambda x: else_(conform_(x, 2), else_(patternCont_(x), invert_(get_(x, 7))))"""
1,-43.970012205903245,-9.416378455387454,-34.55363375051579,"""lambda x: else_(patternCont_(x), else_(conform_(x, 2), invert_(get_(x, 7))))"""
1,-41.757039271598885,-7.203405521083095,-34.55363375051579,"""lambda x: else_(streak_(x, 2), invert_(get_(x, 7)))"""
1,-41.757039271598885,-7.203405521083095,-34.55363375051579,"""lambda x: else_(streak_(x, 5), invert_(get_(x, 7)))"""
1,-41.757039271598885,-7.203405521083095,-34.55363375051579,"""lambda x: else_(streak_(x, 4), invert_(get_(x, 7)))"""
1,-41.757039271598885,-7.203405521083095,-34.55363375051579,"""lambda x: else_(streak_(x, 3), invert_(get_(x, 7)))"""
1,-41.197423483663464,-6.643789733147672,-34.55363375051579,"""lambda x: else_(conform_(x, 2), invert_(get_(x, 7)))"""
2,-22.332436617830027,-10.802672816507345,-11.52976380132268,"""lambda x: else_(balance_(x, 1), else_(balance_(x, 3), invert_(get_(x, 7))))"""
2,-22.332436617830027,-10.802672816507345,-11.52976380132268,"""lambda x: else_(balance_(x, 2), else_(balance_(x, 3), invert_(get_(x, 7))))"""
2,-22.332436617830027,-10.802672816507345,-11.52976380132268,"""lambda x: else_(balance_(x, 3), else_(balance_(x, 3), invert_(get_(x, 7))))"""
2,-22.332436617830027,-10.802672816507345,-11.52976380132268,"""lambda x: else_(conform_(x, 1), else_(balance_(x, 3), invert_(get_(x, 7))))"""
2,-22.332436617830027,-10.802672816507345,-11.52976380132268,"""lambda x: else_(balance_(x, 3), else_(conform_(x, 1), invert_(get_(x, 7))))"""
2,-22.332436617830027,-10.802672816507345,-11.52976380132268,"""lambda x: else_(balance_(x, 3), else_(balance_(x, 2), invert_(get_(x, 7))))"""
2,-22.332436617830027,-10.802672816507345,-11.52976380132268,"""lambda x: else_(balance_(x, 3), else_(balance_(x, 1), invert_(get_(x, 7))))"""
2,-20.946142256710132,-9.416378455387454,-11.52976380132268,"""lambda x: else_(patternCont_(x), else_(balance_(x, 3), invert_(get_(x, 7))))"""
2,-20.946142256710132,-9.416378455387454,-11.52976380132268,"""lambda x: else_(balance_(x, 3), else_(patternCont_(x), invert_(get_(x, 7))))"""
2,-18.17355353447035,-6.643789733147672,-11.52976380132268,"""lambda x: else_(balance_(x, 3), invert_(get_(x, 7)))"""
3,-69.76647087733613,-12.188967177627235,-57.5775036997089,"""lambda x: else_(patternCont_(x), else_(patternCont_(x), else_(conform_(x, 3), '1')))"""
3,-69.76647087733613,-12.188967177627235,-57.5775036997089,"""lambda x: else_(conform_(x, 3), else_(patternCont_(x), else_(patternCont_(x), '1')))"""
3,-69.76647087733613,-12.188967177627235,-57.5775036997089,"""lambda x: else_(patternCont_(x), else_(patternCont_(x), else_(conform_(x, 3), invert_(get_(x, 0)))))"""
3,-69.76647087733613,-12.188967177627235,-57.5775036997089,"""lambda x: else_(patternCont_(x), else_(conform_(x, 3), else_(patternCont_(x), invert_(get_(x, 0)))))"""
3,-68.38017651621622,-10.802672816507345,-57.577503699708885,"""lambda x: else_(conform_(x, 3), else_(balance_(x, 4), get_(x, 0)))"""
3,-68.38017651621622,-10.802672816507345,-57.577503699708885,"""lambda x: else_(conform_(x, 3), else_(balance_(x, 4), invert_(get_(x, 7))))"""
3,-66.99388215509636,-9.416378455387454,-57.5775036997089,"""lambda x: else_(patternCont_(x), else_(conform_(x, 3), '1'))"""
3,-66.99388215509636,-9.416378455387454,-57.5775036997089,"""lambda x: else_(patternCont_(x), else_(conform_(x, 3), invert_(get_(x, 0))))"""
3,-66.99388215509636,-9.416378455387454,-57.5775036997089,"""lambda x: else_(conform_(x, 3), else_(patternCont_(x), '1'))"""
3,-66.99388215509636,-9.416378455387454,-57.5775036997089,"""lambda x: else_(conform_(x, 3), else_(patternCont_(x), invert_(get_(x, 0))))"""
4,-48.688511077198335,-14.134877326682547,-34.553633750515786,"""lambda x: else_(streak_(x, 4), else_(conform_(x, 1), else_(patternCont_(x), '0')))"""
4,-48.688511077198335,-14.134877326682547,-34.553633750515786,"""lambda x: else_(streak_(x, 4), else_(patternCont_(x), else_(conform_(x, 3), '0')))"""
4,-48.688511077198335,-14.134877326682547,-34.553633750515786,"""lambda x: else_(streak_(x, 4), else_(patternCont_(x), else_(conform_(x, 2), '0')))"""
4,-47.30221671607845,-12.748582965562658,-34.553633750515786,"""lambda x: else_(patternCont_(x), else_(patternCont_(x), else_(streak_(x, 4), '0')))"""
4,-47.30221671607844,-12.748582965562656,-34.553633750515786,"""lambda x: else_(patternCont_(x), else_(streak_(x, 4), else_(patternCont_(x), '0')))"""
4,-47.30221671607844,-12.748582965562656,-34.553633750515786,"""lambda x: else_(streak_(x, 4), else_(patternCont_(x), else_(patternCont_(x), '0')))"""
4,-45.91592235495855,-11.362288604442766,-34.553633750515786,"""lambda x: else_(conform_(x, 3), else_(streak_(x, 4), invert_(get_(x, 7))))"""
