p_id,rule,experiment,balance,conform
1,"else_(conform_(x, 2), invert_(get_(x, 7)))",2B,0.0,1.0
2,"else_(balance_(x, 3), invert_(get_(x, 7)))",2B,1.0,0.0
3,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",2B,0.0,0.7
4,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",2B,0.0,0.0
5,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",2B,0.7,0.0
6,"else_(balance_(x, 4), get_(x, 7))",2B,1.0,0.0
7,"else_(balance_(x, 3), invert_(get_(x, 7)))",2B,1.0,0.0
8,"else_(patternCont_(x), else_(balance_(x, 3), '0'))",2B,0.7,0.0
9,"else_(conform_(x, 4), '1')",2B,0.0,1.0
10,"else_(conform_(x, 2), else_(balance_(x, 3), '0'))",2B,0.7,1.0
11,"else_(patternCont_(x), else_(conform_(x, 4), '0'))",2B,0.0,0.7
12,"else_(conform_(x, 2), else_(balance_(x, 3), else_(conform_(x, 4), get_(x, 0))))",2B,0.7,1.0
13,'1',2B,0.0,0.0
14,"else_(patternCont_(x), else_(balance_(x, 3), '1'))",2B,0.7,0.0
15,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
16,'1',2B,0.0,0.0
17,"else_(patternCont_(x), '1')",2B,0.0,0.0
18,"else_(balance_(x, 4), '0')",2B,1.0,0.0
19,"else_(streak_(x, 1), invert_(get_(x, 7)))",2B,0.0,0.0
20,"else_(balance_(x, 3), else_(patternCont_(x), '1'))",2B,1.0,0.0
21,"invert_(get_(x, 7))",2B,0.0,0.0
22,"else_(conform_(x, 3), else_(balance_(x, 4), '0'))",2B,0.7,1.0
23,"else_(streak_(x, 4), invert_(get_(x, 7)))",2B,0.0,0.0
24,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
25,"else_(balance_(x, 3), else_(streak_(x, 6), else_(balance_(x, 4), '1')))",2B,1.0,0.0
26,'0',2B,0.0,0.0
27,"else_(patternCont_(x), else_(conform_(x, 2), else_(streak_(x, 6), else_(balance_(x, 3), else_(conform_(x, 4), invert_(get_(x, 0)))))))",2B,0.3429999999999999,0.7
28,"else_(balance_(x, 3), get_(x, 7))",2B,1.0,0.0
29,"else_(conform_(x, 4), else_(patternCont_(x), get_(x, 7)))",2B,0.0,1.0
30,"else_(conform_(x, 2), invert_(get_(x, 7)))",2B,0.0,1.0
31,"else_(conform_(x, 4), else_(patternCont_(x), invert_(get_(x, 0))))",2B,0.0,1.0
32,"else_(balance_(x, 2), else_(streak_(x, 6), else_(conform_(x, 3), else_(balance_(x, 4), get_(x, 0)))))",2B,1.0,0.48999999999999994
33,"else_(conform_(x, 2), invert_(get_(x, 7)))",2B,0.0,1.0
34,"else_(streak_(x, 6), else_(conform_(x, 3), get_(x, 0)))",2B,0.0,0.7
35,"else_(streak_(x, 3), else_(balance_(x, 4), invert_(get_(x, 7))))",2B,0.7,0.0
36,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
37,"else_(balance_(x, 3), else_(streak_(x, 6), else_(patternCont_(x), else_(balance_(x, 4), '0'))))",2B,1.0,0.0
38,"else_(balance_(x, 2), invert_(get_(x, 0)))",2B,1.0,0.0
39,"else_(balance_(x, 3), else_(patternCont_(x), '1'))",2B,1.0,0.0
40,"else_(conform_(x, 4), '1')",2B,0.0,1.0
41,"else_(conform_(x, 3), get_(x, 0))",2B,0.0,1.0
42,"else_(balance_(x, 4), '0')",2B,1.0,0.0
43,"else_(conform_(x, 4), invert_(get_(x, 7)))",2B,0.0,1.0
44,"else_(conform_(x, 4), invert_(get_(x, 7)))",2B,0.0,1.0
45,"else_(patternCont_(x), else_(conform_(x, 2), invert_(get_(x, 0))))",2B,0.0,0.7
46,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
47,"else_(conform_(x, 3), '1')",2B,0.0,1.0
48,"else_(balance_(x, 2), get_(x, 0))",2B,1.0,0.0
49,"else_(conform_(x, 3), invert_(get_(x, 7)))",2B,0.0,1.0
50,"else_(conform_(x, 4), '1')",2B,0.0,1.0
51,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
52,"else_(conform_(x, 4), '1')",2B,0.0,1.0
53,"invert_(get_(x, 7))",2B,0.0,0.0
54,"invert_(get_(x, 0))",2B,0.0,0.0
55,"else_(conform_(x, 2), '1')",2B,0.0,1.0
56,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
57,"else_(conform_(x, 4), invert_(get_(x, 7)))",2B,0.0,1.0
58,"else_(balance_(x, 4), '1')",2B,1.0,0.0
59,"else_(streak_(x, 3), else_(balance_(x, 3), else_(conform_(x, 4), get_(x, 7))))",2B,0.7,0.48999999999999994
60,"else_(streak_(x, 6), invert_(get_(x, 7)))",2B,0.0,0.0
61,"else_(conform_(x, 3), else_(patternCont_(x), get_(x, 7)))",2B,0.0,1.0
62,"else_(patternCont_(x), '1')",2B,0.0,0.0
63,"else_(conform_(x, 4), invert_(get_(x, 0)))",2B,0.0,1.0
64,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
65,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
66,"else_(balance_(x, 4), '1')",2B,1.0,0.0
67,"else_(streak_(x, 2), '0')",2B,0.0,0.0
68,"else_(balance_(x, 4), else_(streak_(x, 6), get_(x, 0)))",2B,1.0,0.0
69,"else_(balance_(x, 4), '1')",2B,1.0,0.0
70,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
71,"invert_(get_(x, 7))",2B,0.0,0.0
72,"else_(patternCont_(x), else_(balance_(x, 4), invert_(get_(x, 0))))",2B,0.7,0.0
73,"else_(conform_(x, 4), get_(x, 0))",2B,0.0,1.0
74,"else_(conform_(x, 3), else_(patternCont_(x), '0'))",2B,0.0,1.0
75,"else_(conform_(x, 2), invert_(get_(x, 7)))",2B,0.0,1.0
76,"else_(balance_(x, 4), else_(patternCont_(x), get_(x, 7)))",2B,1.0,0.0
77,"else_(conform_(x, 2), invert_(get_(x, 7)))",2B,0.0,1.0
78,"else_(balance_(x, 2), else_(conform_(x, 3), else_(balance_(x, 4), '0')))",2B,1.0,0.7
79,"else_(balance_(x, 4), else_(streak_(x, 6), get_(x, 0)))",2B,1.0,0.0
80,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
81,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
82,"else_(conform_(x, 4), '0')",2B,0.0,1.0
83,"invert_(get_(x, 7))",2B,0.0,0.0
84,"else_(streak_(x, 1), else_(balance_(x, 2), else_(conform_(x, 3), else_(balance_(x, 4), get_(x, 0)))))",2B,0.7,0.48999999999999994
85,"else_(conform_(x, 2), else_(balance_(x, 3), else_(patternCont_(x), '1')))",2B,0.7,1.0
86,"else_(balance_(x, 3), invert_(get_(x, 7)))",2B,1.0,0.0
87,"else_(balance_(x, 2), else_(conform_(x, 4), else_(patternCont_(x), invert_(get_(x, 0)))))",2B,1.0,0.7
88,"else_(conform_(x, 4), get_(x, 0))",2B,0.0,1.0
89,"else_(patternCont_(x), '1')",2B,0.0,0.0
90,"else_(balance_(x, 2), else_(patternCont_(x), invert_(get_(x, 0))))",2B,1.0,0.0
91,"else_(streak_(x, 2), else_(balance_(x, 3), else_(streak_(x, 4), else_(balance_(x, 4), get_(x, 0)))))",2B,0.7,0.0
92,"else_(conform_(x, 4), get_(x, 0))",2B,0.0,1.0
93,"else_(conform_(x, 4), invert_(get_(x, 0)))",2B,0.0,1.0
94,"else_(conform_(x, 4), '1')",2B,0.0,1.0
95,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
96,"else_(conform_(x, 2), else_(streak_(x, 5), invert_(get_(x, 7))))",2B,0.0,1.0
97,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
98,"invert_(get_(x, 7))",2B,0.0,0.0
99,"else_(conform_(x, 3), get_(x, 0))",2B,0.0,1.0
100,"else_(patternCont_(x), else_(conform_(x, 4), '0'))",2B,0.0,0.7
101,"else_(balance_(x, 4), '0')",2B,1.0,0.0
102,"else_(balance_(x, 3), else_(streak_(x, 4), invert_(get_(x, 7))))",2B,1.0,0.0
103,"else_(balance_(x, 3), else_(conform_(x, 4), get_(x, 7)))",2B,1.0,0.7
104,"else_(conform_(x, 4), '0')",2B,0.0,1.0
105,"else_(conform_(x, 4), '0')",2B,0.0,1.0
106,"else_(conform_(x, 3), get_(x, 0))",2B,0.0,1.0
107,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
108,"invert_(get_(x, 7))",2B,0.0,0.0
109,"else_(conform_(x, 2), invert_(get_(x, 7)))",2B,0.0,1.0
110,"else_(conform_(x, 2), else_(balance_(x, 3), invert_(get_(x, 7))))",2B,0.7,1.0
111,"else_(conform_(x, 3), invert_(get_(x, 7)))",2B,0.0,1.0
112,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
113,"else_(streak_(x, 3), invert_(get_(x, 7)))",2B,0.0,0.0
114,"else_(conform_(x, 3), invert_(get_(x, 7)))",2B,0.0,1.0
115,"else_(balance_(x, 4), else_(patternCont_(x), get_(x, 7)))",2B,1.0,0.0
116,"else_(streak_(x, 4), else_(balance_(x, 4), else_(patternCont_(x), invert_(get_(x, 0)))))",2B,0.7,0.0
117,"invert_(get_(x, 7))",2B,0.0,0.0
118,"else_(patternCont_(x), else_(balance_(x, 3), '1'))",2B,0.7,0.0
119,"else_(patternCont_(x), else_(balance_(x, 4), invert_(get_(x, 0))))",2B,0.7,0.0
120,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
121,"else_(conform_(x, 4), invert_(get_(x, 7)))",2B,0.0,1.0
122,"else_(balance_(x, 4), invert_(get_(x, 7)))",2B,1.0,0.0
123,"else_(patternCont_(x), else_(streak_(x, 1), else_(balance_(x, 4), '0')))",2B,0.48999999999999994,0.0
124,"else_(balance_(x, 4), else_(streak_(x, 6), else_(patternCont_(x), '1')))",2B,1.0,0.0
125,"else_(balance_(x, 3), else_(streak_(x, 6), else_(balance_(x, 4), invert_(get_(x, 7)))))",2B,1.0,0.0
126,"else_(conform_(x, 4), get_(x, 0))",2B,0.0,1.0
127,"else_(balance_(x, 4), '1')",2B,1.0,0.0
128,"else_(balance_(x, 4), get_(x, 0))",2B,1.0,0.0
129,"else_(conform_(x, 4), else_(patternCont_(x), get_(x, 7)))",2B,0.0,1.0
